logDateTime,logEndTime,steps,distance
2026-01-13 21:13:00,2026-01-13 21:23:00,278,14
2025-11-22 04:42:00,2025-11-22 04:52:00,26,1
2025-12-09 04:46:00,2025-12-09 04:56:00,126,6
2025-12-15 14:30:00,2025-12-15 14:40:00,13,0
2025-12-18 03:44:00,2025-12-18 03:54:00,43,2
2025-12-14 21:52:00,2025-12-14 22:02:00,312,16
2026-01-29 03:22:00,2026-01-29 03:32:00,87,3
2025-11-21 22:54:00,2025-11-21 23:04:00,204,10
2025-11-21 21:07:00,2025-11-21 21:17:00,268,13
2025-12-17 23:37:00,2025-12-17 23:47:00,84,4
2026-01-28 21:07:00,2026-01-28 21:17:00,40,1
2025-12-10 01:28:00,2025-12-10 01:38:00,282,15
2026-01-29 01:47:00,2026-01-29 01:57:00,191,9
2025-12-17 06:19:00,2025-12-17 06:29:00,13,0
2025-12-18 02:06:00,2025-12-18 02:16:00,8,0
2026-01-13 23:09:00,2026-01-13 23:19:00,1107,58
2025-12-14 17:46:00,2025-12-14 17:56:00,18,0
2025-12-16 01:20:00,2025-12-16 01:30:00,567,30
2025-12-10 02:02:00,2025-12-10 02:12:00,42,1
2025-12-15 18:56:00,2025-12-15 19:06:00,114,5
2026-01-29 01:24:00,2026-01-29 01:34:00,261,13
2026-01-29 06:28:00,2026-01-29 06:38:00,61,3
2025-12-15 22:30:00,2025-12-15 22:40:00,19,1
2025-11-21 21:17:00,2025-11-21 21:27:00,67,3
2025-12-09 03:59:00,2025-12-09 04:09:00,351,17
2026-01-29 01:00:00,2026-01-29 01:10:00,487,25
2026-01-14 15:21:00,2026-01-14 15:31:00,100,5
2026-01-29 01:13:00,2026-01-29 01:23:00,486,24
2025-12-15 00:05:00,2025-12-15 00:15:00,347,18
2025-12-17 04:10:00,2025-12-17 04:20:00,47,2
2025-12-18 00:14:00,2025-12-18 00:24:00,51,2
2025-12-14 16:29:00,2025-12-14 16:39:00,130,6
2025-12-16 04:58:00,2025-12-16 05:08:00,87,4
2025-12-09 19:25:00,2025-12-09 19:35:00,225,10
2025-11-21 16:21:00,2025-11-21 16:31:00,26,0
2025-12-10 02:55:00,2025-12-10 03:05:00,48,2
2025-12-16 14:04:00,2025-12-16 14:14:00,43,2
2026-01-14 00:03:00,2026-01-14 00:13:00,63,3
2025-12-08 23:28:00,2025-12-08 23:38:00,45,3
2026-01-14 01:59:00,2026-01-14 02:09:00,72,3
2025-12-09 00:23:00,2025-12-09 00:33:00,226,10
2025-12-10 03:13:00,2025-12-10 03:23:00,171,10
2026-01-28 20:57:00,2026-01-28 21:07:00,34,1
2025-12-18 05:34:00,2025-12-18 05:44:00,52,2
2025-11-21 20:51:00,2025-11-21 21:01:00,56,3
2025-12-09 04:31:00,2025-12-09 04:41:00,116,5
2025-12-17 00:57:00,2025-12-17 01:07:00,22,0
2026-01-29 03:10:00,2026-01-29 03:20:00,54,3
2025-12-16 00:56:00,2025-12-16 01:06:00,695,36
2025-11-22 00:22:00,2025-11-22 00:32:00,122,6
2025-12-09 00:57:00,2025-12-09 01:07:00,478,25
2026-01-13 22:59:00,2026-01-13 23:09:00,670,35
2025-12-09 18:05:00,2025-12-09 18:15:00,523,27
2025-12-17 23:04:00,2025-12-17 23:14:00,823,44
2026-01-14 00:33:00,2026-01-14 00:43:00,95,5
2026-01-13 20:29:00,2026-01-13 20:39:00,323,17
2025-12-15 22:43:00,2025-12-15 22:53:00,17,1
2026-01-28 18:51:00,2026-01-28 19:01:00,98,5
2025-12-09 23:14:00,2025-12-09 23:24:00,46,2
2025-11-22 03:18:00,2025-11-22 03:28:00,43,4
2026-01-13 22:01:00,2026-01-13 22:11:00,415,21
2025-11-21 19:10:00,2025-11-21 19:20:00,35,1
2025-11-22 05:12:00,2025-11-22 05:22:00,50,3
2025-12-14 15:49:00,2025-12-14 15:59:00,27,1
2025-12-15 14:05:00,2025-12-15 14:15:00,1127,64
2025-12-09 03:37:00,2025-12-09 03:47:00,56,3
2025-12-09 00:43:00,2025-12-09 00:53:00,334,18
2026-01-13 18:57:00,2026-01-13 19:07:00,364,18
2025-12-16 02:49:00,2025-12-16 02:59:00,90,5
2025-12-18 22:56:00,2025-12-18 23:06:00,91,5
2026-01-14 17:33:00,2026-01-14 17:43:00,44,2
2025-12-14 20:37:00,2025-12-14 20:47:00,83,3
2025-12-14 12:59:00,2025-12-14 13:09:00,11,0
2025-12-15 12:53:00,2025-12-15 13:03:00,545,24
2025-12-09 22:25:00,2025-12-09 22:35:00,50,2
2025-12-15 15:46:00,2025-12-15 15:56:00,11,0
2025-12-09 19:36:00,2025-12-09 19:46:00,27,1
2025-12-09 01:40:00,2025-12-09 01:50:00,64,2
2025-12-16 04:47:00,2025-12-16 04:57:00,32,1
2025-12-09 15:57:00,2025-12-09 16:07:00,10,0
2026-01-14 17:18:00,2026-01-14 17:28:00,49,3
2025-12-17 06:00:00,2025-12-17 06:10:00,77,3
2025-12-09 00:33:00,2025-12-09 00:43:00,367,21
2025-12-14 22:53:00,2025-12-14 23:03:00,293,15
2025-12-09 18:49:00,2025-12-09 18:59:00,120,4
2025-11-21 18:25:00,2025-11-21 18:35:00,124,5
2025-12-14 23:55:00,2025-12-15 00:05:00,148,5
2025-12-15 02:47:00,2025-12-15 02:57:00,106,6
2026-01-28 20:08:00,2026-01-28 20:18:00,35,2
2025-12-10 04:47:00,2025-12-10 04:57:00,316,17
2026-01-14 01:49:00,2026-01-14 01:59:00,611,28
2025-12-15 02:04:00,2025-12-15 02:14:00,442,23
2025-12-15 03:11:00,2025-12-15 03:21:00,187,9
2025-11-22 04:10:00,2025-11-22 04:20:00,94,4
2025-12-15 13:03:00,2025-12-15 13:13:00,491,26
2025-12-16 06:17:00,2025-12-16 06:27:00,19,1
2026-01-14 02:09:00,2026-01-14 02:19:00,167,7
2026-01-13 19:33:00,2026-01-13 19:43:00,25,0
2025-11-22 00:38:00,2025-11-22 00:48:00,63,2
2025-12-16 01:08:00,2025-12-16 01:18:00,754,40
2025-11-21 22:06:00,2025-11-21 22:16:00,134,7
2025-12-15 00:31:00,2025-12-15 00:41:00,284,13
2025-12-14 16:51:00,2025-12-14 17:01:00,497,25
2025-12-18 03:24:00,2025-12-18 03:34:00,166,7
2025-12-10 04:07:00,2025-12-10 04:17:00,872,39
2025-12-15 15:17:00,2025-12-15 15:27:00,186,9
2025-12-10 04:27:00,2025-12-10 04:37:00,177,9
2025-12-10 05:20:00,2025-12-10 05:30:00,16,0
2025-12-17 05:05:00,2025-12-17 05:15:00,54,3
2025-11-22 00:50:00,2025-11-22 01:00:00,126,7
2025-12-17 01:37:00,2025-12-17 01:47:00,107,5
2026-01-29 02:23:00,2026-01-29 02:33:00,189,8
2025-12-15 12:24:00,2025-12-15 12:34:00,38,1
2026-01-13 16:38:00,2026-01-13 16:48:00,285,15
2026-01-29 04:55:00,2026-01-29 05:05:00,161,9
2026-01-28 22:29:00,2026-01-28 22:39:00,203,11
2025-12-10 01:12:00,2025-12-10 01:22:00,42,2
2025-12-09 19:57:00,2025-12-09 20:07:00,121,8
2025-12-10 04:59:00,2025-12-10 05:09:00,50,2
2025-12-18 04:43:00,2025-12-18 04:53:00,36,1
2026-01-14 02:55:00,2026-01-14 03:05:00,92,5
2025-12-16 04:13:00,2025-12-16 04:23:00,60,3
2026-01-28 18:11:00,2026-01-28 18:21:00,156,6
2025-12-09 03:25:00,2025-12-09 03:35:00,682,31
2025-12-09 19:15:00,2025-12-09 19:25:00,272,13
2026-01-14 00:13:00,2026-01-14 00:23:00,58,3
2025-12-17 16:06:00,2025-12-17 16:16:00,31,1
2025-12-15 12:43:00,2025-12-15 12:53:00,183,10
2025-12-15 01:05:00,2025-12-15 01:15:00,326,15
2026-01-29 01:59:00,2026-01-29 02:09:00,104,4
2025-12-15 20:51:00,2025-12-15 21:01:00,3,0
2025-12-17 23:52:00,2025-12-18 00:02:00,60,3
2026-01-14 16:51:00,2026-01-14 17:01:00,59,2
2025-11-21 16:11:00,2025-11-21 16:21:00,114,5
2026-01-29 04:43:00,2026-01-29 04:53:00,69,3
2025-12-15 03:21:00,2025-12-15 03:31:00,98,5
2025-12-17 01:24:00,2025-12-17 01:34:00,28,0
2025-12-15 05:16:00,2025-12-15 05:26:00,13,0
2025-12-14 20:14:00,2025-12-14 20:24:00,44,2
2025-12-15 16:24:00,2025-12-15 16:34:00,13,0
2025-11-21 23:06:00,2025-11-21 23:16:00,150,7
2025-12-15 21:34:00,2025-12-15 21:44:00,665,35
2025-12-14 19:27:00,2025-12-14 19:37:00,11,0
2026-01-29 03:43:00,2026-01-29 03:53:00,414,19
2025-11-21 23:41:00,2025-11-21 23:51:00,35,2
2026-01-29 05:33:00,2026-01-29 05:43:00,11,0
2025-12-15 05:39:00,2025-12-15 05:49:00,232,11
2026-01-13 18:14:00,2026-01-13 18:24:00,472,25
2025-11-21 20:39:00,2025-11-21 20:49:00,452,23
2026-01-13 22:21:00,2026-01-13 22:31:00,734,42
2025-11-22 09:39:00,2025-11-22 09:49:00,10,0
2025-12-16 02:35:00,2025-12-16 02:45:00,108,4
2025-12-15 23:48:00,2025-12-15 23:58:00,367,19
2025-12-10 05:37:00,2025-12-10 05:47:00,19,0
2025-12-15 23:05:00,2025-12-15 23:15:00,539,25
2025-11-22 02:07:00,2025-11-22 02:17:00,47,1
2025-12-16 00:32:00,2025-12-16 00:42:00,168,7
2025-12-17 04:49:00,2025-12-17 04:59:00,43,2
2025-12-15 21:07:00,2025-12-15 21:17:00,26,1
2025-12-14 23:35:00,2025-12-14 23:45:00,422,22
2025-11-21 22:36:00,2025-11-21 22:46:00,90,4
2026-01-28 19:26:00,2026-01-28 19:36:00,128,5
2025-12-14 22:12:00,2025-12-14 22:22:00,411,19
2026-01-28 17:39:00,2026-01-28 17:49:00,36,2
2025-12-15 05:00:00,2025-12-15 05:10:00,104,6
2025-11-21 18:15:00,2025-11-21 18:25:00,100,5
2025-11-21 16:35:00,2025-11-21 16:45:00,101,5
2026-01-14 05:32:00,2026-01-14 05:42:00,49,2
2025-12-09 20:47:00,2025-12-09 20:57:00,57,3
2026-01-14 04:36:00,2026-01-14 04:46:00,88,4
2026-01-29 05:43:00,2026-01-29 05:53:00,20,1
2026-01-29 04:16:00,2026-01-29 04:26:00,10,0
2025-11-21 16:45:00,2025-11-21 16:55:00,123,6
2025-12-16 05:12:00,2025-12-16 05:22:00,22,1
2025-12-14 22:02:00,2025-12-14 22:12:00,300,15
2025-12-18 00:48:00,2025-12-18 00:58:00,362,17
2026-01-13 23:29:00,2026-01-13 23:39:00,106,6
2025-11-21 23:16:00,2025-11-21 23:26:00,56,2
2025-11-21 21:39:00,2025-11-21 21:49:00,38,1
2025-12-18 15:09:00,2025-12-18 15:19:00,26,2
2025-12-17 23:24:00,2025-12-17 23:34:00,206,11
2025-12-15 19:58:00,2025-12-15 20:08:00,873,44
2025-12-18 01:22:00,2025-12-18 01:32:00,14,1
2025-12-15 18:22:00,2025-12-15 18:32:00,339,17
2025-12-09 04:10:00,2025-12-09 04:20:00,51,2
2025-12-09 00:03:00,2025-12-09 00:13:00,12,0
2026-01-13 23:49:00,2026-01-13 23:59:00,65,3
2025-12-09 22:46:00,2025-12-09 22:56:00,30,1
2025-12-15 00:19:00,2025-12-15 00:29:00,367,17
2025-12-14 16:19:00,2025-12-14 16:29:00,57,2
2025-12-15 21:17:00,2025-12-15 21:27:00,72,3
2026-01-14 03:34:00,2026-01-14 03:44:00,261,13
2026-01-13 22:31:00,2026-01-13 22:41:00,11,0
2025-12-15 01:54:00,2025-12-15 02:04:00,427,23
2026-01-14 11:46:00,2026-01-14 11:56:00,14,0
2025-11-22 11:24:00,2025-11-22 11:34:00,29,1
2025-12-09 20:37:00,2025-12-09 20:47:00,33,1
2025-12-17 01:14:00,2025-12-17 01:24:00,12,1
2025-12-16 03:12:00,2025-12-16 03:22:00,37,2
2025-11-22 01:30:00,2025-11-22 01:40:00,30,0
2025-12-15 20:41:00,2025-12-15 20:51:00,1032,50
2025-12-10 07:14:00,2025-12-10 07:24:00,28,1
2025-12-14 18:20:00,2025-12-14 18:30:00,715,34
2025-12-10 00:20:00,2025-12-10 00:30:00,38,1
2025-12-15 16:47:00,2025-12-15 16:57:00,10,0
2025-12-14 16:41:00,2025-12-14 16:51:00,242,10
2025-11-22 04:00:00,2025-11-22 04:10:00,112,6
2026-01-29 00:21:00,2026-01-29 00:31:00,1059,51
2025-12-18 02:22:00,2025-12-18 02:32:00,69,3
2025-11-21 17:14:00,2025-11-21 17:24:00,26,1
2026-01-14 04:26:00,2026-01-14 04:36:00,135,7
2025-11-22 01:11:00,2025-11-22 01:21:00,31,2
2026-01-28 22:56:00,2026-01-28 23:06:00,114,5
2025-12-16 23:10:00,2025-12-16 23:20:00,10,0
2025-12-18 02:46:00,2025-12-18 02:56:00,98,4
2026-01-13 23:19:00,2026-01-13 23:29:00,925,52
2025-12-15 19:16:00,2025-12-15 19:26:00,408,21
2025-12-17 00:18:00,2025-12-17 00:28:00,203,10
2025-12-18 03:14:00,2025-12-18 03:24:00,28,1
2025-11-21 19:56:00,2025-11-21 20:06:00,48,2
2025-12-18 01:56:00,2025-12-18 02:06:00,247,12
2025-12-14 23:03:00,2025-12-14 23:13:00,198,9
2025-12-14 22:31:00,2025-12-14 22:41:00,151,6
2025-12-18 03:34:00,2025-12-18 03:44:00,133,7
2025-12-15 20:18:00,2025-12-15 20:28:00,26,1
2025-12-16 01:47:00,2025-12-16 01:57:00,104,5
2025-12-17 05:39:00,2025-12-17 05:49:00,63,3
2025-12-09 17:25:00,2025-12-09 17:35:00,581,29
2025-11-22 03:44:00,2025-11-22 03:54:00,150,7
2025-11-21 20:29:00,2025-11-21 20:39:00,138,8
2025-11-21 16:01:00,2025-11-21 16:11:00,153,8
2026-01-13 21:46:00,2026-01-13 21:56:00,480,27
2026-01-29 05:53:00,2026-01-29 06:03:00,10,0
