createdTime,temperature,heartrate
2026-01-13 18:09:03,95.5,0
2025-12-09 16:15:25,96.6,85
2025-12-09 16:12:23,75.9,0
2025-12-18 17:45:24,97.3,96
2025-12-09 16:15:14,96.6,85
2025-12-09 16:15:06,96.4,85
2025-12-21 04:17:05,61.2,0
2025-12-21 04:17:00,61.2,0
2025-12-21 04:17:06,61.0,0
2025-12-10 13:58:32,95.2,68
2025-12-18 15:23:17,97.2,88
2026-01-13 18:09:18,95.5,0
2026-01-13 18:09:01,95.5,0
2025-12-10 13:58:12,95.2,65
2025-12-09 16:12:19,75.9,0
2025-12-09 16:15:02,96.4,87
2025-12-09 16:12:20,75.9,0
2025-12-09 16:15:32,96.6,85
2026-01-13 18:08:39,95.5,0
2025-12-10 23:22:11,95.9,109
2025-12-18 15:23:04,97.2,88
2025-12-09 16:14:58,96.4,88
2025-12-09 16:12:11,75.7,0
2025-12-09 16:12:29,76.3,98
2025-12-21 23:07:35,60.1,0
2025-12-18 02:25:25,68.2,0
2025-12-18 15:23:06,97.2,89
2025-12-10 13:58:42,95.2,69
2025-12-10 13:58:27,95.2,65
2025-12-18 17:45:21,97.3,96
2025-12-18 02:25:21,68.2,0
2025-12-09 16:15:20,96.6,85
2025-12-09 16:15:00,96.4,88
2025-12-09 16:12:46,95.2,98
2025-12-18 17:45:27,97.3,96
2025-12-21 04:16:59,61.2,0
2025-12-09 16:12:35,76.5,98
2025-12-10 13:58:43,95.2,70
2025-12-10 13:58:25,95.2,64
2025-12-10 13:58:26,95.2,64
2025-12-10 13:58:50,95.2,76
2025-12-18 02:25:28,68.2,0
2025-12-10 23:22:08,96.1,108
2026-01-13 18:09:23,95.5,0
2025-12-09 16:15:19,96.6,86
2025-12-10 13:58:48,95.2,78
2025-12-09 16:12:38,76.6,98
2025-12-09 16:12:55,95.5,96
2025-12-21 04:17:14,61.2,0
2025-12-10 13:58:45,95.2,71
2026-01-13 18:08:34,95.5,0
2025-12-21 04:17:11,61.2,0
2026-01-13 18:09:29,95.5,0
2025-12-10 13:58:08,95.2,63
2026-01-13 18:09:20,95.5,0
2025-12-10 13:58:15,95.2,63
2025-12-09 16:14:56,96.4,90
2025-12-10 13:58:22,95.2,63
2025-12-09 16:12:32,76.5,98
2025-12-10 13:58:51,95.2,76
2025-12-10 13:58:38,95.2,73
2025-12-21 23:07:32,69.6,0
2025-12-09 16:12:51,95.4,99
2025-12-18 02:25:22,68.0,0
2026-01-13 18:09:21,95.5,0
2025-12-10 13:58:13,95.2,65
2025-12-09 16:15:12,96.4,85
2026-01-13 18:08:36,95.5,0
2025-12-09 16:12:21,75.9,0
2025-12-21 04:17:02,61.2,0
2025-12-18 15:23:11,97.2,90
2025-12-18 02:25:24,68.0,0
2026-01-13 18:08:47,95.5,0
2025-12-21 23:07:30,59.9,0
2025-12-09 16:15:37,96.6,87
2025-12-09 16:15:15,96.6,86
2025-12-09 16:12:08,75.4,0
2025-12-09 16:12:15,75.7,0
2025-12-10 13:58:52,95.2,68
2025-12-10 13:58:46,95.2,78
2026-01-13 18:09:12,95.5,0
2025-12-21 04:16:55,61.2,0
2025-12-09 16:15:18,96.6,85
2025-12-21 04:16:54,61.0,0
