logDateTime,logEndTime,steps,distance
2026-01-22 02:49:00,2026-01-22 02:59:00,238,13
2026-01-28 00:34:00,2026-01-28 00:44:00,912,48
2026-02-12 21:53:00,2026-02-12 22:03:00,82,5
2026-02-19 03:46:00,2026-02-19 03:56:00,57,2
2026-01-26 02:35:00,2026-01-26 02:45:00,17,0
2025-12-17 12:10:00,2025-12-17 12:20:00,39,1
2026-01-23 01:02:00,2026-01-23 01:12:00,87,3
2026-01-25 22:49:00,2026-01-25 22:59:00,36,1
2026-01-29 01:29:00,2026-01-29 01:39:00,23,1
2025-12-23 14:54:00,2025-12-23 15:04:00,49,2
2026-01-23 02:17:00,2026-01-23 02:27:00,98,5
2026-02-13 00:35:00,2026-02-13 00:45:00,122,6
2026-01-09 11:53:00,2026-01-09 12:03:00,203,9
2026-01-23 14:02:00,2026-01-23 14:12:00,196,11
2026-01-27 16:49:00,2026-01-27 16:59:00,79,4
2026-01-21 22:59:00,2026-01-21 23:09:00,170,8
2025-12-26 22:27:00,2025-12-26 22:37:00,161,7
2026-02-19 00:01:00,2026-02-19 00:11:00,194,11
2025-12-31 22:41:00,2025-12-31 22:51:00,119,5
2026-02-27 02:45:00,2026-02-27 02:55:00,127,5
2026-02-12 15:07:00,2026-02-12 15:17:00,58,2
2026-01-26 17:58:00,2026-01-26 18:08:00,180,10
2026-01-24 03:41:00,2026-01-24 03:51:00,88,5
2025-12-22 02:53:00,2025-12-22 03:03:00,264,13
2026-01-26 18:55:00,2026-01-26 19:05:00,66,3
2026-01-12 00:41:00,2026-01-12 00:51:00,114,5
2026-02-12 05:33:00,2026-02-12 05:43:00,10,0
2026-01-29 20:43:00,2026-01-29 20:53:00,438,20
2026-01-26 21:08:00,2026-01-26 21:18:00,164,8
2026-01-12 03:20:00,2026-01-12 03:30:00,156,9
2026-01-27 22:00:00,2026-01-27 22:10:00,13,0
2025-12-19 18:23:00,2025-12-19 18:33:00,235,12
2026-01-31 15:23:00,2026-01-31 15:33:00,221,12
2026-02-28 12:17:00,2026-02-28 12:27:00,90,5
2026-01-26 14:30:00,2026-01-26 14:40:00,122,6
2026-02-19 01:53:00,2026-02-19 02:03:00,61,3
2026-01-22 18:29:00,2026-01-22 18:39:00,646,35
2025-12-29 20:49:00,2025-12-29 20:59:00,64,3
2026-01-27 17:09:00,2026-01-27 17:19:00,175,8
2026-01-12 10:11:00,2026-01-12 10:21:00,98,5
2025-12-28 23:33:00,2025-12-28 23:43:00,109,5
2025-12-28 03:28:00,2025-12-28 03:38:00,155,8
2026-01-21 21:22:00,2026-01-21 21:32:00,72,4
2026-01-01 00:43:00,2026-01-01 00:53:00,56,3
2025-12-17 16:45:00,2025-12-17 16:55:00,234,12
2026-01-31 01:48:00,2026-01-31 01:58:00,93,4
2026-01-28 13:07:00,2026-01-28 13:17:00,36,2
2026-02-23 15:00:00,2026-02-23 15:10:00,69,4
2026-01-07 21:22:00,2026-01-07 21:32:00,104,6
2026-02-12 23:08:00,2026-02-12 23:18:00,37,1
2026-01-09 00:47:00,2026-01-09 00:57:00,109,6
2025-12-17 22:08:00,2025-12-17 22:18:00,135,8
2026-02-12 00:41:00,2026-02-12 00:51:00,59,2
2025-12-20 14:24:00,2025-12-20 14:34:00,51,2
2026-02-28 00:59:00,2026-02-28 01:09:00,256,13
2026-02-12 02:48:00,2026-02-12 02:58:00,72,4
2025-12-27 15:07:00,2025-12-27 15:17:00,109,5
2025-12-18 17:53:00,2025-12-18 18:03:00,12,0
2026-01-29 22:13:00,2026-01-29 22:23:00,69,4
2026-01-28 19:35:00,2026-01-28 19:45:00,135,7
2026-01-22 18:19:00,2026-01-22 18:29:00,483,24
2026-01-30 03:13:00,2026-01-30 03:23:00,173,10
2026-02-26 03:13:00,2026-02-26 03:23:00,16,0
2026-01-01 01:13:00,2026-01-01 01:23:00,120,5
2026-02-19 02:34:00,2026-02-19 02:44:00,175,9
2026-02-25 23:05:00,2026-02-25 23:15:00,796,49
2026-01-28 03:36:00,2026-01-28 03:46:00,130,7
2026-02-24 11:12:00,2026-02-24 11:22:00,64,3
2026-01-21 23:10:00,2026-01-21 23:20:00,40,2
2026-01-22 22:59:00,2026-01-22 23:09:00,107,4
2026-01-22 04:30:00,2026-01-22 04:40:00,10,0
2026-02-13 01:10:00,2026-02-13 01:20:00,207,12
2025-12-18 10:27:00,2025-12-18 10:37:00,57,3
