logDateTime,logEndTime,steps,distance
2026-01-07 14:35:00,2026-01-07 14:45:00,236,11
2026-01-22 19:58:00,2026-01-22 20:08:00,211,10
2026-01-25 03:34:00,2026-01-25 03:44:00,132,7
2026-01-05 16:47:00,2026-01-05 16:57:00,162,7
2026-02-06 15:31:00,2026-02-06 15:41:00,12,0
2026-01-22 19:10:00,2026-01-22 19:20:00,13,0
2026-01-20 12:50:00,2026-01-20 13:00:00,184,9
2026-01-25 00:43:00,2026-01-25 00:53:00,448,20
2026-02-03 16:31:00,2026-02-03 16:41:00,107,5
2026-01-07 13:37:00,2026-01-07 13:47:00,299,14
2026-02-06 01:40:00,2026-02-06 01:50:00,176,8
2026-01-07 04:14:00,2026-01-07 04:24:00,78,4
2026-01-24 23:47:00,2026-01-24 23:57:00,25,0
2026-02-06 03:46:00,2026-02-06 03:56:00,272,14
2026-01-05 15:41:00,2026-01-05 15:51:00,215,10
2026-01-28 19:32:00,2026-01-28 19:42:00,86,3
2026-01-08 03:56:00,2026-01-08 04:06:00,230,11
2026-01-25 04:07:00,2026-01-25 04:17:00,314,16
2026-01-10 01:26:00,2026-01-10 01:36:00,183,9
2026-01-05 17:47:00,2026-01-05 17:57:00,37,1
2026-01-29 05:10:00,2026-01-29 05:20:00,179,9
2026-01-28 21:33:00,2026-01-28 21:43:00,23,1
2026-01-25 02:40:00,2026-01-25 02:50:00,207,10
2026-01-08 01:47:00,2026-01-08 01:57:00,10,0
2026-01-07 14:45:00,2026-01-07 14:55:00,117,5
2026-02-06 04:06:00,2026-02-06 04:16:00,62,3
2026-01-29 01:50:00,2026-01-29 02:00:00,311,15
2025-12-16 16:13:00,2025-12-16 16:23:00,88,5
2026-01-19 18:02:00,2026-01-19 18:12:00,525,26
2026-01-19 15:48:00,2026-01-19 15:58:00,338,20
2026-01-08 00:27:00,2026-01-08 00:37:00,67,3
2026-01-07 12:01:00,2026-01-07 12:11:00,27,0
2026-01-29 18:29:00,2026-01-29 18:39:00,258,11
2026-02-03 17:05:00,2026-02-03 17:15:00,168,8
2026-01-19 19:20:00,2026-01-19 19:30:00,135,7
2026-01-05 14:49:00,2026-01-05 14:59:00,23,1
2026-01-20 13:01:00,2026-01-20 13:11:00,290,14
2025-12-17 00:53:00,2025-12-17 01:03:00,201,10
2026-01-10 03:39:00,2026-01-10 03:49:00,10,0
2026-01-29 18:19:00,2026-01-29 18:29:00,158,7
2025-12-17 01:45:00,2025-12-17 01:55:00,62,3
2026-01-25 13:01:00,2026-01-25 13:11:00,33,1
2026-01-08 13:46:00,2026-01-08 13:56:00,95,4
2026-01-25 14:17:00,2026-01-25 14:27:00,30,1
2026-01-29 05:20:00,2026-01-29 05:30:00,29,0
2026-01-27 16:34:00,2026-01-27 16:44:00,233,11
2026-01-30 00:34:00,2026-01-30 00:44:00,151,8
2026-01-08 03:46:00,2026-01-08 03:56:00,222,11
2026-02-03 15:51:00,2026-02-03 16:01:00,598,29
2026-01-29 20:55:00,2026-01-29 21:05:00,138,6
2026-01-10 02:48:00,2026-01-10 02:58:00,381,22
2026-01-22 18:23:00,2026-01-22 18:33:00,251,13
2026-01-05 15:51:00,2026-01-05 16:01:00,195,11
2025-12-28 16:01:00,2025-12-28 16:11:00,150,7
2026-01-07 01:58:00,2026-01-07 02:08:00,823,45
2026-01-29 03:59:00,2026-01-29 04:09:00,55,2
2026-01-29 12:55:00,2026-01-29 13:05:00,124,5
2026-01-19 15:38:00,2026-01-19 15:48:00,367,19
2026-01-27 23:25:00,2026-01-27 23:35:00,91,4
2025-12-28 14:41:00,2025-12-28 14:51:00,22,0
2026-02-03 16:11:00,2026-02-03 16:21:00,85,5
2026-01-07 01:41:00,2026-01-07 01:51:00,15,1
2025-12-16 16:01:00,2025-12-16 16:11:00,89,3
2026-02-06 05:11:00,2026-02-06 05:21:00,28,1
2025-12-28 14:57:00,2025-12-28 15:07:00,174,9
2026-01-20 13:12:00,2026-01-20 13:22:00,389,20
2026-01-07 14:25:00,2026-01-07 14:35:00,297,16
2025-12-28 16:41:00,2025-12-28 16:51:00,322,15
2025-12-28 15:37:00,2025-12-28 15:47:00,478,24
2026-02-05 13:43:00,2026-02-05 13:53:00,225,12
2026-01-27 19:17:00,2026-01-27 19:27:00,245,12
2026-01-27 15:40:00,2026-01-27 15:50:00,73,4
2026-01-20 01:42:00,2026-01-20 01:52:00,143,7
2025-12-28 17:50:00,2025-12-28 18:00:00,185,9
2026-01-29 01:13:00,2026-01-29 01:23:00,55,3
2025-12-17 01:14:00,2025-12-17 01:24:00,93,4
2026-01-19 16:08:00,2026-01-19 16:18:00,250,13
2026-02-03 18:41:00,2026-02-03 18:51:00,185,10
2025-12-17 02:11:00,2025-12-17 02:21:00,89,4
2026-01-08 05:12:00,2026-01-08 05:22:00,10,0
2026-02-06 04:52:00,2026-02-06 05:02:00,34,1
2026-01-05 18:41:00,2026-01-05 18:51:00,302,16
2026-01-20 14:59:00,2026-01-20 15:09:00,173,10
2026-02-06 05:31:00,2026-02-06 05:41:00,10,0
2026-02-03 16:21:00,2026-02-03 16:31:00,242,11
2026-01-08 13:28:00,2026-01-08 13:38:00,189,11
2026-01-29 17:25:00,2026-01-29 17:35:00,212,12
2026-01-27 19:43:00,2026-01-27 19:53:00,86,4
2026-01-22 15:49:00,2026-01-22 15:59:00,332,15
2026-01-22 16:51:00,2026-01-22 17:01:00,182,8
2025-12-16 17:11:00,2025-12-16 17:21:00,737,38
2026-02-03 19:12:00,2026-02-03 19:22:00,157,8
2026-01-29 17:44:00,2026-01-29 17:54:00,62,3
2026-01-25 01:00:00,2026-01-25 01:10:00,10,0
2026-01-08 06:45:00,2026-01-08 06:55:00,95,5
2026-01-05 16:59:00,2026-01-05 17:09:00,230,11
2026-01-27 16:57:00,2026-01-27 17:07:00,133,6
2025-12-16 17:41:00,2025-12-16 17:51:00,222,10
2025-12-28 19:05:00,2025-12-28 19:15:00,84,3
2025-12-16 23:49:00,2025-12-16 23:59:00,124,6
2026-01-08 12:56:00,2026-01-08 13:06:00,75,2
2026-01-29 17:54:00,2026-01-29 18:04:00,197,8
2026-01-20 02:54:00,2026-01-20 03:04:00,188,9
2026-01-29 19:13:00,2026-01-29 19:23:00,338,17
2025-12-28 16:21:00,2025-12-28 16:31:00,256,13
2026-02-06 03:35:00,2026-02-06 03:45:00,242,14
2026-01-22 20:30:00,2026-01-22 20:40:00,101,5
2026-01-29 17:05:00,2026-01-29 17:15:00,165,8
2026-01-25 12:41:00,2026-01-25 12:51:00,92,4
2026-02-06 02:41:00,2026-02-06 02:51:00,268,14
2026-02-06 04:42:00,2026-02-06 04:52:00,57,2
2026-02-05 14:50:00,2026-02-05 15:00:00,229,11
2026-02-06 00:59:00,2026-02-06 01:09:00,176,9
2026-01-19 18:32:00,2026-01-19 18:42:00,463,21
