logDateTime,logEndTime,steps,distance
2026-01-11 16:53:00,2026-01-11 17:03:00,88,4
2026-01-26 23:36:00,2026-01-26 23:46:00,265,13
2026-01-17 14:18:00,2026-01-17 14:28:00,231,11
2026-01-28 16:27:00,2026-01-28 16:37:00,88,4
2026-01-29 00:50:00,2026-01-29 01:00:00,175,10
2026-01-23 14:01:00,2026-01-23 14:11:00,292,14
2026-01-27 14:51:00,2026-01-27 15:01:00,146,7
2026-01-23 14:11:00,2026-01-23 14:21:00,267,13
2026-01-20 23:08:00,2026-01-20 23:18:00,45,2
2026-01-27 14:38:00,2026-01-27 14:48:00,84,5
2026-01-28 21:42:00,2026-01-28 21:52:00,147,7
2026-01-07 16:55:00,2026-01-07 17:05:00,178,9
2026-01-23 20:54:00,2026-01-23 21:04:00,135,7
2026-01-26 19:44:00,2026-01-26 19:54:00,518,26
2026-01-12 17:16:00,2026-01-12 17:26:00,236,14
2026-01-27 19:35:00,2026-01-27 19:45:00,70,3
2026-01-20 21:26:00,2026-01-20 21:36:00,325,18
2026-01-03 15:49:00,2026-01-03 15:59:00,188,10
2026-01-28 23:50:00,2026-01-29 00:00:00,165,8
2025-12-24 23:51:00,2025-12-25 00:01:00,99,5
2026-01-12 19:56:00,2026-01-12 20:06:00,14,0
2026-01-03 21:20:00,2026-01-03 21:30:00,85,5
2026-01-12 18:27:00,2026-01-12 18:37:00,198,10
2026-01-24 17:04:00,2026-01-24 17:14:00,73,4
2026-01-07 17:54:00,2026-01-07 18:04:00,106,4
2025-12-24 19:23:00,2025-12-24 19:33:00,41,2
2026-01-27 00:15:00,2026-01-27 00:25:00,58,3
2026-01-27 13:42:00,2026-01-27 13:52:00,69,3
2026-01-17 22:47:00,2026-01-17 22:57:00,181,10
2026-01-26 18:11:00,2026-01-26 18:21:00,85,5
2026-01-23 20:05:00,2026-01-23 20:15:00,62,3
2025-12-26 19:18:00,2025-12-26 19:28:00,56,4
2026-01-24 19:20:00,2026-01-24 19:30:00,124,6
2026-01-17 23:36:00,2026-01-17 23:46:00,235,10
2026-01-17 17:25:00,2026-01-17 17:35:00,64,3
2026-01-20 19:39:00,2026-01-20 19:49:00,736,43
2026-01-12 17:53:00,2026-01-12 18:03:00,245,12
2025-12-26 15:26:00,2025-12-26 15:36:00,87,5
2026-01-03 21:32:00,2026-01-03 21:42:00,88,5
2025-12-26 19:30:00,2025-12-26 19:40:00,35,1
2026-01-23 22:06:00,2026-01-23 22:16:00,113,7
2026-01-11 15:46:00,2026-01-11 15:56:00,22,0
2026-01-27 20:39:00,2026-01-27 20:49:00,283,15
2026-01-20 22:06:00,2026-01-20 22:16:00,850,45
2026-01-17 14:32:00,2026-01-17 14:42:00,123,6
2026-01-27 15:42:00,2026-01-27 15:52:00,581,38
2026-01-24 22:10:00,2026-01-24 22:20:00,37,1
2026-01-24 18:26:00,2026-01-24 18:36:00,114,6
2026-01-23 13:50:00,2026-01-23 14:00:00,307,15
2026-01-23 20:24:00,2026-01-23 20:34:00,156,7
2026-01-12 15:49:00,2026-01-12 15:59:00,100,6
2026-01-09 17:14:00,2026-01-09 17:24:00,10,0
2025-12-24 22:25:00,2025-12-24 22:35:00,10,0
2026-01-27 19:07:00,2026-01-27 19:17:00,175,10
2026-01-26 23:23:00,2026-01-26 23:33:00,154,8
2025-12-26 18:58:00,2025-12-26 19:08:00,252,14
2026-01-12 20:17:00,2026-01-12 20:27:00,35,2
2026-01-02 21:30:00,2026-01-02 21:40:00,62,3
2026-01-17 13:58:00,2026-01-17 14:08:00,127,7
2026-01-26 14:29:00,2026-01-26 14:39:00,347,16
2026-01-12 16:38:00,2026-01-12 16:48:00,27,1
2026-01-27 21:01:00,2026-01-27 21:11:00,357,18
2026-01-26 20:14:00,2026-01-26 20:24:00,210,11
2026-01-23 22:58:00,2026-01-23 23:08:00,48,2
2025-12-26 17:40:00,2025-12-26 17:50:00,258,14
2026-01-24 20:30:00,2026-01-24 20:40:00,37,2
2026-01-26 19:34:00,2026-01-26 19:44:00,415,23
2025-12-24 15:12:00,2025-12-24 15:22:00,310,19
2026-01-23 21:37:00,2026-01-23 21:47:00,142,7
2026-01-27 13:32:00,2026-01-27 13:42:00,297,17
2026-01-11 17:09:00,2026-01-11 17:19:00,196,11
2025-12-24 21:37:00,2025-12-24 21:47:00,54,3
2026-01-24 18:06:00,2026-01-24 18:16:00,1115,73
2026-01-09 16:00:00,2026-01-09 16:10:00,39,1
2025-12-24 20:51:00,2025-12-24 21:01:00,193,9
2026-01-02 20:52:00,2026-01-02 21:02:00,359,19
2026-01-20 22:28:00,2026-01-20 22:38:00,197,10
2026-01-26 22:00:00,2026-01-26 22:10:00,26,1
2026-01-28 13:53:00,2026-01-28 14:03:00,59,3
2026-01-27 03:22:00,2026-01-27 03:32:00,81,4
2025-12-26 19:53:00,2025-12-26 20:03:00,327,20
2026-01-27 16:46:00,2026-01-27 16:56:00,85,4
2026-01-29 01:07:00,2026-01-29 01:17:00,195,10
2026-01-17 16:49:00,2026-01-17 16:59:00,75,4
2026-01-28 14:32:00,2026-01-28 14:42:00,142,7
2026-01-25 01:02:00,2026-01-25 01:12:00,191,10
2026-01-10 18:47:00,2026-01-10 18:57:00,282,17
2025-12-24 23:25:00,2025-12-24 23:35:00,51,2
2026-01-29 00:29:00,2026-01-29 00:39:00,104,6
2026-01-23 19:41:00,2026-01-23 19:51:00,123,6
2025-12-25 00:25:00,2025-12-25 00:35:00,54,2
2026-01-09 15:25:00,2026-01-09 15:35:00,30,1
2026-01-11 15:03:00,2026-01-11 15:13:00,276,13
2026-01-18 00:09:00,2026-01-18 00:19:00,167,9
2025-12-26 18:26:00,2025-12-26 18:36:00,180,10
