logDateTime,logEndTime,steps,distance
2026-01-20 23:24:00,2026-01-20 23:34:00,12,0
2026-02-19 17:07:00,2026-02-19 17:17:00,76,4
2026-01-21 02:49:00,2026-01-21 02:59:00,57,4
2026-01-22 23:35:00,2026-01-22 23:45:00,77,3
2026-02-18 01:08:00,2026-02-18 01:18:00,573,35
2026-01-22 23:14:00,2026-01-22 23:24:00,34,2
2026-01-22 22:03:00,2026-01-22 22:13:00,156,8
2026-02-18 02:28:00,2026-02-18 02:38:00,403,22
2026-02-19 16:25:00,2026-02-19 16:35:00,554,28
2026-01-21 01:59:00,2026-01-21 02:09:00,190,10
2026-02-19 23:58:00,2026-02-20 00:08:00,34,1
2026-01-20 16:27:00,2026-01-20 16:37:00,15,0
2026-02-18 02:04:00,2026-02-18 02:14:00,138,9
2026-02-18 00:04:00,2026-02-18 00:14:00,208,11
2026-02-18 00:16:00,2026-02-18 00:26:00,94,5
2026-01-22 17:44:00,2026-01-22 17:54:00,43,1
2026-02-18 01:18:00,2026-02-18 01:28:00,561,32
2026-01-22 17:14:00,2026-01-22 17:24:00,13,0
2026-02-19 17:32:00,2026-02-19 17:42:00,245,13
2026-02-17 22:59:00,2026-02-17 23:09:00,326,18
2026-01-22 20:15:00,2026-01-22 20:25:00,958,55
2026-02-19 17:20:00,2026-02-19 17:30:00,291,16
2026-02-19 19:57:00,2026-02-19 20:07:00,140,6
2026-01-21 01:39:00,2026-01-21 01:49:00,165,9
2026-01-20 17:24:00,2026-01-20 17:34:00,377,20
2026-02-17 22:49:00,2026-02-17 22:59:00,281,13
2026-02-17 23:09:00,2026-02-17 23:19:00,371,23
2026-01-21 01:00:00,2026-01-21 01:10:00,251,14
2026-02-19 19:42:00,2026-02-19 19:52:00,162,8
2026-01-22 23:02:00,2026-01-22 23:12:00,134,6
2026-01-20 17:54:00,2026-01-20 18:04:00,540,33
2026-01-23 00:51:00,2026-01-23 01:01:00,184,9
2026-01-21 17:13:00,2026-01-21 17:23:00,210,10
2026-01-21 17:27:00,2026-01-21 17:37:00,139,7
2026-01-20 22:20:00,2026-01-20 22:30:00,493,30
2026-01-23 01:51:00,2026-01-23 02:01:00,83,4
2026-01-21 00:38:00,2026-01-21 00:48:00,142,7
2026-01-21 03:05:00,2026-01-21 03:15:00,45,1
2026-01-23 01:41:00,2026-01-23 01:51:00,401,22
2026-01-21 17:47:00,2026-01-21 17:57:00,177,9
2026-02-18 00:43:00,2026-02-18 00:53:00,35,2
2026-01-22 16:23:00,2026-01-22 16:33:00,464,25
2026-02-19 21:14:00,2026-02-19 21:24:00,95,4
2026-02-19 21:38:00,2026-02-19 21:48:00,167,8
2026-01-21 00:05:00,2026-01-21 00:15:00,330,21
2026-01-21 17:03:00,2026-01-21 17:13:00,146,8
2026-02-18 00:57:00,2026-02-18 01:07:00,12,0
2026-02-17 21:58:00,2026-02-17 22:08:00,38,2
2026-01-22 17:59:00,2026-01-22 18:09:00,10,0
2026-01-20 18:27:00,2026-01-20 18:37:00,793,43
2026-01-20 22:55:00,2026-01-20 23:05:00,278,16
2026-01-22 18:11:00,2026-01-22 18:21:00,399,24
2026-02-19 22:50:00,2026-02-19 23:00:00,468,27
2026-01-22 20:05:00,2026-01-22 20:15:00,308,18
2026-01-20 23:35:00,2026-01-20 23:45:00,70,3
2026-01-20 21:07:00,2026-01-20 21:17:00,13,0
2026-01-22 18:59:00,2026-01-22 19:09:00,11,0
2026-01-20 23:11:00,2026-01-20 23:21:00,77,4
2026-01-20 17:14:00,2026-01-20 17:24:00,146,8
2026-01-22 22:27:00,2026-01-22 22:37:00,279,14
2026-01-22 21:10:00,2026-01-22 21:20:00,12,0
2026-01-21 02:13:00,2026-01-21 02:23:00,371,19
2026-01-20 18:51:00,2026-01-20 19:01:00,452,22
2026-02-19 20:21:00,2026-02-19 20:31:00,54,2
2026-01-21 01:29:00,2026-01-21 01:39:00,295,16
2026-01-22 02:32:00,2026-01-22 02:42:00,37,2
2026-01-22 22:40:00,2026-01-22 22:50:00,299,17
2026-02-17 23:40:00,2026-02-17 23:50:00,282,16
2026-02-19 20:39:00,2026-02-19 20:49:00,526,30
2026-01-22 21:37:00,2026-01-22 21:47:00,185,8
2026-02-19 16:38:00,2026-02-19 16:48:00,128,7
2026-02-19 23:19:00,2026-02-19 23:29:00,139,7
2026-01-21 01:49:00,2026-01-21 01:59:00,374,24
2026-02-19 23:02:00,2026-02-19 23:12:00,29,2
2026-01-22 20:25:00,2026-01-22 20:35:00,255,13
2026-02-19 17:42:00,2026-02-19 17:52:00,20,1
2026-01-20 22:05:00,2026-01-20 22:15:00,431,24
2026-01-22 21:52:00,2026-01-22 22:02:00,156,9
2026-01-20 15:46:00,2026-01-20 15:56:00,13,0
2026-02-19 15:34:00,2026-02-19 15:44:00,130,6
2026-01-20 23:55:00,2026-01-21 00:05:00,268,13
2026-01-22 01:58:00,2026-01-22 02:08:00,139,6
2026-02-18 02:16:00,2026-02-18 02:26:00,120,6
2026-01-22 16:33:00,2026-01-22 16:43:00,69,4
2026-01-22 22:50:00,2026-01-22 23:00:00,26,1
2026-01-20 17:44:00,2026-01-20 17:54:00,201,11
2026-01-22 22:15:00,2026-01-22 22:25:00,43,2
2026-01-21 16:43:00,2026-01-21 16:53:00,125,7
2026-01-20 22:30:00,2026-01-20 22:40:00,24,1
