logDateTime,logEndTime,steps,distance
2026-03-13 23:44:00,2026-03-13 23:54:00,220,13
2026-03-16 19:05:00,2026-03-16 19:15:00,13,0
2026-03-16 17:41:00,2026-03-16 17:51:00,221,12
2026-03-13 22:00:00,2026-03-13 22:10:00,161,10
2026-03-16 16:24:00,2026-03-16 16:34:00,62,3
2026-03-20 19:18:00,2026-03-20 19:28:00,132,8
2026-03-13 18:10:00,2026-03-13 18:20:00,79,4
2026-03-20 23:15:00,2026-03-20 23:25:00,728,44
2026-03-03 21:50:00,2026-03-03 22:00:00,70,4
2026-03-16 21:58:00,2026-03-16 22:08:00,264,16
2026-03-20 18:09:00,2026-03-20 18:19:00,410,25
2026-03-16 18:39:00,2026-03-16 18:49:00,605,35
2026-03-20 14:30:00,2026-03-20 14:40:00,319,20
2026-03-03 15:35:00,2026-03-03 15:45:00,364,21
2026-03-20 19:28:00,2026-03-20 19:38:00,135,8
2026-03-14 00:44:00,2026-03-14 00:54:00,140,8
2026-03-03 18:50:00,2026-03-03 19:00:00,56,3
2026-03-13 23:14:00,2026-03-13 23:24:00,209,13
2026-03-07 18:52:00,2026-03-07 19:02:00,16,0
2026-03-17 14:39:00,2026-03-17 14:49:00,374,21
2026-03-07 20:46:00,2026-03-07 20:56:00,124,9
2026-03-16 15:00:00,2026-03-16 15:10:00,22,1
2026-03-20 21:20:00,2026-03-20 21:30:00,387,24
2026-03-17 14:49:00,2026-03-17 14:59:00,458,28
2026-03-20 20:40:00,2026-03-20 20:50:00,235,14
2026-03-20 21:40:00,2026-03-20 21:50:00,213,14
2026-03-16 13:51:00,2026-03-16 14:01:00,204,12
2026-03-20 20:50:00,2026-03-20 21:00:00,672,37
2026-03-04 02:14:00,2026-03-04 02:24:00,64,3
2026-03-20 15:25:00,2026-03-20 15:35:00,256,15
2026-03-17 00:01:00,2026-03-17 00:11:00,263,14
2026-03-20 18:55:00,2026-03-20 19:05:00,141,9
2026-03-13 17:58:00,2026-03-13 18:08:00,195,14
2026-03-17 13:28:00,2026-03-17 13:38:00,416,26
2026-03-13 13:42:00,2026-03-13 13:52:00,304,19
2026-03-20 16:31:00,2026-03-20 16:41:00,164,10
2026-03-16 17:31:00,2026-03-16 17:41:00,203,13
2026-03-21 02:21:00,2026-03-21 02:31:00,447,26
2026-03-13 14:49:00,2026-03-13 14:59:00,14,1
2026-03-04 01:01:00,2026-03-04 01:11:00,197,13
2026-03-17 00:11:00,2026-03-17 00:21:00,987,61
2026-03-20 21:10:00,2026-03-20 21:20:00,390,21
2026-03-13 22:21:00,2026-03-13 22:31:00,91,4
2026-03-03 16:05:00,2026-03-03 16:15:00,351,23
2026-03-03 23:00:00,2026-03-03 23:10:00,259,15
2026-03-16 13:21:00,2026-03-16 13:31:00,574,31
2026-03-14 00:24:00,2026-03-14 00:34:00,86,6
2026-03-13 17:24:00,2026-03-13 17:34:00,312,17
2026-03-16 22:09:00,2026-03-16 22:19:00,440,26
2026-03-13 22:43:00,2026-03-13 22:53:00,303,17
2026-03-14 01:22:00,2026-03-14 01:32:00,108,7
2026-03-13 20:46:00,2026-03-13 20:56:00,367,21
2026-03-13 19:48:00,2026-03-13 19:58:00,79,4
2026-03-20 17:37:00,2026-03-20 17:47:00,276,15
2026-03-03 23:10:00,2026-03-03 23:20:00,66,3
2026-03-03 15:25:00,2026-03-03 15:35:00,376,22
2026-03-20 16:41:00,2026-03-20 16:51:00,548,32
