logDateTime,logEndTime,steps,distance
2026-04-12 21:07:00,2026-04-12 21:17:00,60,2
2026-04-14 02:37:00,2026-04-14 02:47:00,86,4
2026-04-11 22:29:00,2026-04-11 22:39:00,141,8
2026-04-14 19:18:00,2026-04-14 19:28:00,190,9
2026-04-12 21:46:00,2026-04-12 21:56:00,59,3
2026-04-13 22:41:00,2026-04-13 22:51:00,15,0
2026-04-14 20:55:00,2026-04-14 21:05:00,43,2
2026-04-11 20:28:00,2026-04-11 20:38:00,86,4
2026-04-12 20:09:00,2026-04-12 20:19:00,141,7
2026-04-14 03:03:00,2026-04-14 03:13:00,82,4
2026-04-11 20:47:00,2026-04-11 20:57:00,10,0
2026-04-12 01:13:00,2026-04-12 01:23:00,82,4
2026-04-12 18:04:00,2026-04-12 18:14:00,271,15
2026-04-11 23:56:00,2026-04-12 00:06:00,21,1
2026-04-14 21:38:00,2026-04-14 21:48:00,128,6
2026-04-11 18:45:00,2026-04-11 18:55:00,80,5
2026-04-14 18:27:00,2026-04-14 18:37:00,42,2
2026-04-14 17:28:00,2026-04-14 17:38:00,154,7
2026-04-13 01:19:00,2026-04-13 01:29:00,23,1
2026-04-13 02:09:00,2026-04-13 02:19:00,49,2
2026-04-14 17:51:00,2026-04-14 18:01:00,46,2
2026-04-12 17:15:00,2026-04-12 17:25:00,37,2
2026-04-14 23:17:00,2026-04-14 23:27:00,132,6
2026-04-14 02:15:00,2026-04-14 02:25:00,85,3
2026-04-15 00:54:00,2026-04-15 01:04:00,31,2
2026-04-14 00:02:00,2026-04-14 00:12:00,10,0
2026-04-12 01:30:00,2026-04-12 01:40:00,21,0
2026-04-14 18:16:00,2026-04-14 18:26:00,27,1
2026-04-14 19:28:00,2026-04-14 19:38:00,178,8
2026-04-12 23:16:00,2026-04-12 23:26:00,14,0
2026-04-12 19:39:00,2026-04-12 19:49:00,275,14
2026-04-11 18:33:00,2026-04-11 18:43:00,40,1
2026-04-12 00:34:00,2026-04-12 00:44:00,204,11
2026-04-13 02:47:00,2026-04-13 02:57:00,23,0
2026-04-11 23:05:00,2026-04-11 23:15:00,17,0
2026-04-11 22:07:00,2026-04-11 22:17:00,238,9
2026-04-13 21:02:00,2026-04-13 21:12:00,49,3
2026-04-14 23:30:00,2026-04-14 23:40:00,136,7
2026-04-14 22:48:00,2026-04-14 22:58:00,12,0
2026-04-14 02:03:00,2026-04-14 02:13:00,39,1
2026-04-13 00:29:00,2026-04-13 00:39:00,56,2
2026-04-11 20:09:00,2026-04-11 20:19:00,33,1
2026-04-12 19:24:00,2026-04-12 19:34:00,410,21
2026-04-12 22:33:00,2026-04-12 22:43:00,83,4
2026-04-12 23:47:00,2026-04-12 23:57:00,12,1
2026-04-13 23:28:00,2026-04-13 23:38:00,107,6
2026-04-11 19:49:00,2026-04-11 19:59:00,20,0
2026-04-11 22:40:00,2026-04-11 22:50:00,84,3
2026-04-15 00:37:00,2026-04-15 00:47:00,186,9
2026-04-12 18:42:00,2026-04-12 18:52:00,34,2
2026-04-12 17:05:00,2026-04-12 17:15:00,180,9
2026-04-12 20:52:00,2026-04-12 21:02:00,21,1
2026-04-14 01:20:00,2026-04-14 01:30:00,107,4
2026-04-12 02:57:00,2026-04-12 03:07:00,97,4
2026-04-13 03:15:00,2026-04-13 03:25:00,45,2
2026-04-13 19:52:00,2026-04-13 20:02:00,70,3
2026-04-14 20:45:00,2026-04-14 20:55:00,171,8
2026-04-13 20:02:00,2026-04-13 20:12:00,172,10
2026-04-13 03:00:00,2026-04-13 03:10:00,11,0
2026-04-12 18:54:00,2026-04-12 19:04:00,237,12
2026-04-14 01:50:00,2026-04-14 02:00:00,57,2
2026-04-12 19:14:00,2026-04-12 19:24:00,174,9
2026-04-11 21:57:00,2026-04-11 22:07:00,30,2
2026-04-13 00:17:00,2026-04-13 00:27:00,107,6
2026-04-14 03:58:00,2026-04-14 04:08:00,82,4
2026-04-11 18:10:00,2026-04-11 18:20:00,63,3
2026-04-12 00:58:00,2026-04-12 01:08:00,134,6
2026-04-12 23:05:00,2026-04-12 23:15:00,55,3
2026-04-14 03:22:00,2026-04-14 03:32:00,40,2
2026-04-11 19:34:00,2026-04-11 19:44:00,91,4
2026-04-14 22:33:00,2026-04-14 22:43:00,73,4
2026-04-13 23:18:00,2026-04-13 23:28:00,139,7
2026-04-12 19:49:00,2026-04-12 19:59:00,98,4
2026-04-14 18:51:00,2026-04-14 19:01:00,15,1
2026-04-13 00:01:00,2026-04-13 00:11:00,23,0
2026-04-14 20:05:00,2026-04-14 20:15:00,74,3
2026-04-12 03:07:00,2026-04-12 03:17:00,107,4
2026-04-12 19:59:00,2026-04-12 20:09:00,210,9
2026-04-14 23:53:00,2026-04-15 00:03:00,14,0
2026-04-11 23:17:00,2026-04-11 23:27:00,126,7
2026-04-12 23:34:00,2026-04-12 23:44:00,10,0
2026-04-11 22:50:00,2026-04-11 23:00:00,49,2
2026-04-14 20:18:00,2026-04-14 20:28:00,159,6
2026-04-12 20:36:00,2026-04-12 20:46:00,24,1
2026-04-12 22:05:00,2026-04-12 22:15:00,77,3
2026-04-13 02:31:00,2026-04-13 02:41:00,149,7
2026-04-14 19:53:00,2026-04-14 20:03:00,22,1
2026-04-14 01:36:00,2026-04-14 01:46:00,40,2
2026-04-13 01:33:00,2026-04-13 01:43:00,60,3
2026-04-14 00:19:00,2026-04-14 00:29:00,10,0
2026-04-12 20:24:00,2026-04-12 20:34:00,49,2
2026-04-12 18:30:00,2026-04-12 18:40:00,285,14
2026-04-13 00:41:00,2026-04-13 00:51:00,138,6
2026-04-14 19:38:00,2026-04-14 19:48:00,281,15
2026-04-12 21:20:00,2026-04-12 21:30:00,47,2
2026-04-13 01:55:00,2026-04-13 02:05:00,118,6
2026-04-14 20:31:00,2026-04-14 20:41:00,247,12
2026-04-12 00:47:00,2026-04-12 00:57:00,185,9
2026-04-14 00:45:00,2026-04-14 00:55:00,19,1
2026-04-12 22:43:00,2026-04-12 22:53:00,22,1
2026-04-11 18:22:00,2026-04-11 18:32:00,22,1
2026-04-14 00:35:00,2026-04-14 00:45:00,177,10
2026-04-13 20:52:00,2026-04-13 21:02:00,118,4
2026-04-14 22:06:00,2026-04-14 22:16:00,154,8
2026-04-11 17:54:00,2026-04-11 18:04:00,116,5
2026-04-15 01:06:00,2026-04-15 01:16:00,48,3
2026-04-14 22:22:00,2026-04-14 22:32:00,194,8
2026-04-14 18:41:00,2026-04-14 18:51:00,34,1
2026-04-12 21:30:00,2026-04-12 21:40:00,34,1
2026-04-15 01:26:00,2026-04-15 01:36:00,16,0
2026-04-11 21:41:00,2026-04-11 21:51:00,36,1
2026-04-08 20:16:00,2026-04-08 20:26:00,111,5
2026-04-08 00:47:00,2026-04-08 00:57:00,32,1
2026-04-08 16:49:00,2026-04-08 16:59:00,33,1
2026-04-07 22:15:00,2026-04-07 22:25:00,43,2
2026-04-08 20:52:00,2026-04-08 21:02:00,10,0
2026-04-08 19:42:00,2026-04-08 19:52:00,134,7
2026-04-08 15:38:00,2026-04-08 15:48:00,11,0
2026-04-08 17:59:00,2026-04-08 18:09:00,94,4
2026-04-07 21:45:00,2026-04-07 21:55:00,391,21
2026-04-08 18:27:00,2026-04-08 18:37:00,99,5
2026-04-07 20:52:00,2026-04-07 21:02:00,36,1
2026-04-08 19:32:00,2026-04-08 19:42:00,92,5
2026-04-08 15:23:00,2026-04-08 15:33:00,47,2
2026-04-08 18:51:00,2026-04-08 19:01:00,89,3
2026-04-08 21:11:00,2026-04-08 21:21:00,58,2
2026-04-08 19:52:00,2026-04-08 20:02:00,101,5
2026-04-08 18:09:00,2026-04-08 18:19:00,73,4
2026-04-07 21:12:00,2026-04-07 21:22:00,230,13
2026-04-08 18:40:00,2026-04-08 18:50:00,46,2
2026-04-07 20:42:00,2026-04-07 20:52:00,80,4
2026-04-07 21:02:00,2026-04-07 21:12:00,146,7
2026-04-07 23:21:00,2026-04-07 23:31:00,213,11
2026-04-07 21:31:00,2026-04-07 21:41:00,605,34
2026-04-08 17:06:00,2026-04-08 17:16:00,48,3
2026-04-07 22:05:00,2026-04-07 22:15:00,147,8
2026-04-08 00:34:00,2026-04-08 00:44:00,106,5
2026-04-07 20:08:00,2026-04-07 20:18:00,19,1
2026-04-07 21:55:00,2026-04-07 22:05:00,95,5
2026-04-08 00:11:00,2026-04-08 00:21:00,14,1
2026-04-11 15:54:00,2026-04-11 16:04:00,28,2
2026-04-11 17:31:00,2026-04-11 17:41:00,16,1
2026-04-11 16:07:00,2026-04-11 16:17:00,77,3
2026-04-11 17:06:00,2026-04-11 17:16:00,44,2
2026-04-11 15:28:00,2026-04-11 15:38:00,127,6
2026-04-11 16:19:00,2026-04-11 16:29:00,57,2
2026-04-11 16:29:00,2026-04-11 16:39:00,103,5
2026-04-11 16:44:00,2026-04-11 16:54:00,197,9
2026-04-11 16:54:00,2026-04-11 17:04:00,10,0
2026-04-11 15:39:00,2026-04-11 15:49:00,97,4
2026-04-07 19:43:00,2026-04-07 19:53:00,11,0
2026-04-07 16:33:00,2026-04-07 16:43:00,20,0
2026-04-11 01:40:00,2026-04-11 01:50:00,157,8
2026-04-09 01:22:00,2026-04-09 01:32:00,431,24
2026-04-09 21:18:00,2026-04-09 21:28:00,67,3
2026-04-09 23:01:00,2026-04-09 23:11:00,11,1
2026-04-10 00:40:00,2026-04-10 00:50:00,165,9
2026-04-10 22:05:00,2026-04-10 22:15:00,11,0
2026-04-09 03:17:00,2026-04-09 03:27:00,22,0
2026-04-08 21:30:00,2026-04-08 21:40:00,93,4
2026-04-10 23:15:00,2026-04-10 23:25:00,72,3
2026-04-09 01:32:00,2026-04-09 01:42:00,83,3
2026-04-11 00:49:00,2026-04-11 00:59:00,129,5
2026-04-09 20:53:00,2026-04-09 21:03:00,55,3
2026-04-09 19:49:00,2026-04-09 19:59:00,265,12
2026-04-10 02:20:00,2026-04-10 02:30:00,182,8
2026-04-10 19:53:00,2026-04-10 20:03:00,20,1
2026-04-10 00:02:00,2026-04-10 00:12:00,30,1
2026-04-10 22:15:00,2026-04-10 22:25:00,112,6
2026-04-11 00:59:00,2026-04-11 01:09:00,154,7
2026-04-09 22:46:00,2026-04-09 22:56:00,13,0
2026-04-09 02:54:00,2026-04-09 03:04:00,113,5
2026-04-10 21:21:00,2026-04-10 21:31:00,16,0
2026-04-09 02:21:00,2026-04-09 02:31:00,216,10
2026-04-10 02:49:00,2026-04-10 02:59:00,83,5
2026-04-09 21:31:00,2026-04-09 21:41:00,67,3
2026-04-08 23:25:00,2026-04-08 23:35:00,202,10
2026-04-09 22:02:00,2026-04-09 22:12:00,29,0
2026-04-10 03:05:00,2026-04-10 03:15:00,55,2
2026-04-09 20:30:00,2026-04-09 20:40:00,49,3
2026-04-10 21:05:00,2026-04-10 21:15:00,45,2
2026-04-09 22:36:00,2026-04-09 22:46:00,10,0
2026-04-10 22:55:00,2026-04-10 23:05:00,131,6
2026-04-08 23:07:00,2026-04-08 23:17:00,86,4
2026-04-11 01:50:00,2026-04-11 02:00:00,11,0
2026-04-10 01:50:00,2026-04-10 02:00:00,84,4
2026-04-09 01:56:00,2026-04-09 02:06:00,132,5
2026-04-11 00:23:00,2026-04-11 00:33:00,28,0
2026-04-11 02:05:00,2026-04-11 02:15:00,51,2
2026-04-09 02:33:00,2026-04-09 02:43:00,607,33
2026-04-11 00:33:00,2026-04-11 00:43:00,180,8
2026-04-09 00:34:00,2026-04-09 00:44:00,214,10
2026-04-09 02:09:00,2026-04-09 02:19:00,138,7
2026-04-11 02:29:00,2026-04-11 02:39:00,138,6
2026-04-10 20:36:00,2026-04-10 20:46:00,33,2
2026-04-09 01:12:00,2026-04-09 01:22:00,507,28
2026-04-10 00:58:00,2026-04-10 01:08:00,31,1
2026-04-09 19:59:00,2026-04-09 20:09:00,27,1
2026-04-11 01:23:00,2026-04-11 01:33:00,13,0
2026-04-10 23:25:00,2026-04-10 23:35:00,116,6
2026-04-09 19:39:00,2026-04-09 19:49:00,20,1
2026-04-09 23:21:00,2026-04-09 23:31:00,245,13
2026-04-11 02:19:00,2026-04-11 02:29:00,154,7
2026-04-09 01:46:00,2026-04-09 01:56:00,105,5
2026-04-10 02:30:00,2026-04-10 02:40:00,74,4
2026-04-08 21:43:00,2026-04-08 21:53:00,67,2
2026-04-10 01:24:00,2026-04-10 01:34:00,114,5
2026-04-09 02:44:00,2026-04-09 02:54:00,744,35
2026-04-10 02:08:00,2026-04-10 02:18:00,88,4
2026-04-09 22:02:00,2026-04-09 22:12:00,19,0
2026-04-10 20:13:00,2026-04-10 20:23:00,105,4
2026-04-07 19:00:00,2026-04-07 19:10:00,236,12
2026-04-08 15:23:00,2026-04-08 15:33:00,17,1
2026-04-08 01:27:00,2026-04-08 01:37:00,49,2
2026-04-07 18:15:00,2026-04-07 18:25:00,328,17
2026-04-08 01:15:00,2026-04-08 01:25:00,50,2
2026-04-07 18:37:00,2026-04-07 18:47:00,66,3
2026-04-08 03:09:00,2026-04-08 03:19:00,10,0
2026-04-08 02:22:00,2026-04-08 02:32:00,46,2
2026-04-08 01:01:00,2026-04-08 01:11:00,117,6
2026-04-08 02:11:00,2026-04-08 02:21:00,170,10
2026-04-07 18:26:00,2026-04-07 18:36:00,758,41
2026-04-08 01:56:00,2026-04-08 02:06:00,238,12
2026-04-07 18:50:00,2026-04-07 19:00:00,113,6
2026-04-07 19:12:00,2026-04-07 19:22:00,111,6
2026-04-07 16:58:00,2026-04-07 17:08:00,986,49
2026-04-07 17:19:00,2026-04-07 17:29:00,416,20
2026-04-07 17:29:00,2026-04-07 17:39:00,595,31
2026-04-07 17:09:00,2026-04-07 17:19:00,698,37
